"id","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
71,-122.29,37.81,26,768,152,392,127,1.7719,82500,"NEAR BAY"
12792,-121.46,38.65,8,3746,767,2161,744,3.2039,103400,"INLAND"
12520,-121.46,38.55,52,2094,463,1364,407,1.2235,68500,"INLAND"
10660,-117.81,33.67,24,3930,661,1831,616,6.3767,269000,"<1H OCEAN"
5215,-118.25,33.94,44,1463,312,940,312,2.3333,99800,"<1H OCEAN"
10357,-117.67,33.6,25,3164,449,1517,453,6.7921,266000,"<1H OCEAN"
327,-122.19,37.73,45,1528,291,801,287,1.2625,84700,"NEAR BAY"
5408,-118.45,34.03,41,1240,320,711,304,3.3482,318100,"<1H OCEAN"
9212,-120.31,37.11,38,1696,301,985,278,2.4054,112500,"INLAND"
12165,-117.22,33.74,7,1810,386,931,355,2.5221,109200,"<1H OCEAN"
4797,-118.35,34.03,43,2122,524,1510,436,2.2273,123300,"<1H OCEAN"
6403,-118.02,34.14,34,1077,257,478,199,2.6316,252800,"INLAND"
1433,-122.02,37.99,37,2247,416,1237,397,4.45,161900,"NEAR BAY"
18251,-122.08,37.39,39,2210,483,1023,450,4.5833,342400,"NEAR BAY"
16859,-122.41,37.63,39,4220,1055,2720,1046,2.639,242500,"NEAR OCEAN"
7508,-118.27,33.91,42,1786,358,1318,373,2.625,101100,"<1H OCEAN"
8674,-118.38,33.83,35,2152,454,902,414,4.5179,427200,"<1H OCEAN"
19784,-122.93,40.78,20,3758,798,1685,757,2.3667,91200,"INLAND"
18697,-122.37,40.58,25,2054,495,835,475,2.1538,76900,"INLAND"
1125,-121.58,39.76,18,1676,332,733,318,1.7875,103800,"INLAND"
20564,-121.75,38.67,9,12139,2640,6837,2358,3.125,132500,"INLAND"
2562,-124.15,40.8,47,1486,335,765,329,1.755,74100,"NEAR OCEAN"
12450,-114.68,33.49,20,1491,360,1135,303,1.6395,44400,"INLAND"
3031,-119.47,35.4,32,2167,421,1301,394,1.9718,69800,"INLAND"
18731,-122.46,40.52,13,2085,322,1077,333,5.2149,146500,"INLAND"
5762,-118.29,34.18,10,4292,1075,2719,987,3.6974,286600,"<1H OCEAN"
10081,-120.24,39.35,8,4195,725,291,115,3.4792,180800,"INLAND"
19293,-122.84,38.41,19,2191,391,1065,404,4.125,204600,"<1H OCEAN"
10577,-117.7,33.64,15,5743,773,2380,773,8.1926,326600,"<1H OCEAN"
14734,-117.01,32.81,21,4203,618,1620,600,5.3441,193500,"<1H OCEAN"
7924,-118.08,33.86,29,1018,235,684,248,3.3333,198800,"<1H OCEAN"
15687,-122.42,37.79,48,4506,1342,1980,1239,4.0156,500001,"NEAR BAY"
10275,-117.88,33.85,18,2705,713,2726,674,2.7759,2e+05,"<1H OCEAN"
20140,-119.1,34.31,21,2424,527,1379,484,2.6786,184000,"<1H OCEAN"
7431,-118.21,33.95,35,2129,614,2376,618,2.0372,160800,"<1H OCEAN"
17111,-122.21,37.46,40,1777,207,577,207,15.0001,500001,"NEAR OCEAN"
10430,-117.65,33.42,25,2174,428,603,352,3.3967,249400,"NEAR OCEAN"
20040,-118.97,36.06,26,1289,262,1100,244,1.975,51400,"INLAND"
3239,-119.56,36.1,25,1093,262,893,252,2.13,50800,"INLAND"
17864,-121.91,37.42,19,1684,387,1224,376,4.1389,174100,"<1H OCEAN"
10736,-117.89,33.6,36,1496,247,441,203,7.8164,500001,"<1H OCEAN"
14676,-117.11,32.8,17,3890,586,2791,595,3.2197,67500,"NEAR OCEAN"
12692,-121.39,38.57,33,2648,357,863,359,8.4016,338700,"INLAND"
12231,-116.95,33.75,23,4676,1096,2770,1057,1.7847,109500,"INLAND"
10046,-121,39.23,15,2809,450,1267,408,4.0426,191700,"INLAND"
5370,-118.39,34.05,42,1467,203,577,204,6.6368,500001,"<1H OCEAN"
18701,-122.34,40.58,7,4843,992,2223,932,3.0549,101700,"INLAND"
2809,-119.02,35.42,40,1089,226,520,218,2.2727,67200,"INLAND"
12751,-121.38,38.62,34,2352,610,1127,592,2.2,116500,"INLAND"
1401,-122.06,37.95,36,2213,386,950,370,4.7386,186400,"NEAR BAY"
9222,-120.26,37.13,33,1239,250,648,227,2.0278,58800,"INLAND"
7224,-118.16,34.02,34,1474,511,1962,501,1.8715,139600,"<1H OCEAN"
7538,-118.21,33.91,24,1545,391,1807,388,2.6429,105300,"<1H OCEAN"
11360,-117.92,33.74,18,1639,491,2513,458,2.1838,159700,"<1H OCEAN"
19056,-121.73,38.13,40,1266,257,547,247,3.0288,164400,"INLAND"
10299,-117.85,33.92,11,3331,410,1460,416,8.0287,371800,"<1H OCEAN"
3644,-118.46,34.22,39,1500,333,998,309,3.9625,168200,"<1H OCEAN"
8407,-118.36,33.94,33,939,284,1309,250,3.4063,152300,"<1H OCEAN"
3757,-118.38,34.18,44,901,179,473,179,3.3125,186400,"<1H OCEAN"
16616,-120.92,35.4,23,2059,354,636,278,3.6908,278800,"NEAR OCEAN"
4480,-118.16,34.07,41,247,55,925,50,3.5769,135700,"<1H OCEAN"
1699,-122.29,37.98,27,2133,347,850,350,5.1046,209800,"NEAR BAY"
12129,-117.23,33.91,9,11654,2100,7596,2127,4.0473,127200,"INLAND"
4871,-118.28,34.03,40,2118,796,2195,658,1.7976,164600,"<1H OCEAN"
7148,-118.14,34.03,44,2003,390,1291,392,4.0625,201100,"<1H OCEAN"
17328,-120.08,34.62,11,3478,588,1693,582,4.6554,272300,"NEAR OCEAN"
17176,-122.47,37.5,18,2297,416,1086,381,4.875,334600,"NEAR OCEAN"
20639,-121.32,39.43,18,1860,409,741,349,1.8672,84700,"INLAND"
5194,-118.25,33.93,42,657,147,526,132,2.5,110200,"<1H OCEAN"
6270,-117.95,34.05,31,2349,539,2028,521,3.494,154500,"<1H OCEAN"
14933,-116.99,32.64,15,4331,699,2046,627,3.9519,193500,"NEAR OCEAN"
13240,-117.66,34.13,17,3229,405,1289,407,6.3842,307100,"INLAND"
1323,-121.87,38.02,52,2264,439,1403,476,2.7083,99400,"INLAND"
8156,-118.1,33.82,36,1946,346,871,336,5.2155,254800,"<1H OCEAN"
19859,-119.29,36.35,15,1740,319,1332,308,2.5743,60200,"INLAND"
18713,-122.45,40.61,17,785,155,417,136,2.3289,58200,"INLAND"
5000,-118.28,33.99,52,1283,342,1363,329,2.5848,101900,"<1H OCEAN"
2099,-119.77,36.76,43,1623,294,781,272,1.869,56000,"INLAND"
14195,-117.04,32.71,28,5274,991,3727,961,3.57,109800,"NEAR OCEAN"
75,-122.29,37.81,20,835,161,290,133,2.483,137500,"NEAR BAY"
18164,-122.05,37.37,27,3885,661,1537,606,6.6085,344700,"<1H OCEAN"
13135,-121.43,38.46,18,1378,235,818,262,4.0625,100300,"INLAND"
13626,-117.26,34.11,33,1210,288,850,238,1.2171,59300,"INLAND"
4095,-118.4,34.15,41,2394,500,837,417,4.3889,380400,"<1H OCEAN"
6748,-118.07,34.11,41,2869,563,1627,533,5.0736,270700,"<1H OCEAN"
16718,-120.66,35.5,19,1861,364,1040,363,3.3125,163900,"<1H OCEAN"
6014,-117.78,34.06,25,1712,491,1807,478,2.2258,114800,"INLAND"
5079,-118.29,33.98,48,1124,231,783,223,3.4444,93100,"<1H OCEAN"
18757,-122.36,40.68,28,1745,379,1011,370,2.0391,59800,"INLAND"
5261,-118.5,34.05,39,1487,163,414,160,15,500001,"<1H OCEAN"
685,-122.14,37.68,31,3184,716,1561,628,2.7955,183100,"NEAR BAY"
14601,-117.16,32.81,14,4328,1100,2046,1044,2.2899,159000,"NEAR OCEAN"
4833,-118.29,34.04,44,1941,579,2049,535,2.0405,143000,"<1H OCEAN"
19011,-122,38.35,34,1084,187,561,198,4.2115,118900,"INLAND"
18354,-122.12,37.37,37,1446,181,549,190,10.7355,500001,"NEAR BAY"
548,-122.27,37.77,52,1710,481,849,457,2.7115,220800,"NEAR BAY"
614,-122.14,37.73,51,2619,403,922,393,4.6042,251900,"NEAR BAY"
13650,-117.32,34.07,26,971,245,592,207,2.1125,84000,"INLAND"
16037,-122.46,37.72,48,1690,339,962,317,3.2875,221500,"NEAR OCEAN"
14352,-117.21,32.75,27,2072,534,1118,510,2.8043,262100,"NEAR OCEAN"
8827,-118.36,34.09,30,2353,728,1365,718,2.0702,283300,"<1H OCEAN"
2243,-119.78,36.83,11,2754,663,1328,604,2.3667,69300,"INLAND"
8599,-118.36,33.88,31,2518,543,1107,508,4.7404,295800,"<1H OCEAN"
15827,-122.42,37.75,52,2708,762,1460,741,2.9052,4e+05,"NEAR BAY"
17121,-122.14,37.47,36,2081,412,1931,373,3.7917,160600,"NEAR BAY"
19644,-120.82,37.54,20,707,114,282,86,6.1324,164800,"INLAND"
12063,-117.58,33.87,17,2772,449,1685,461,5.0464,163900,"INLAND"
4049,-118.53,34.14,28,6920,906,2515,860,9.2189,500001,"<1H OCEAN"
18658,-121.96,36.97,23,4324,1034,1844,875,3.0777,263800,"NEAR OCEAN"
5574,-118.3,33.86,35,1511,274,853,308,4.9792,251300,"<1H OCEAN"
5413,-118.44,34.01,41,1309,221,534,228,5.1708,418800,"<1H OCEAN"
11801,-121.29,38.9,45,2019,394,1104,407,3.1691,108700,"INLAND"
12173,-117.16,33.73,10,2381,454,1323,477,2.6322,140700,"INLAND"
17710,-121.82,37.33,23,3279,647,2582,630,4.3782,175800,"<1H OCEAN"
3929,-118.55,34.19,36,978,170,475,192,4.675,222500,"<1H OCEAN"
4580,-118.28,34.07,25,7522,3179,7221,2902,2.0173,177500,"<1H OCEAN"
7287,-118.24,33.98,45,173,42,230,57,3.0724,110700,"<1H OCEAN"
1459,-121.98,37.97,26,2714,390,1232,409,5.9617,231100,"INLAND"
5265,-118.57,34.09,14,7970,1142,2926,1096,11.2866,500001,"<1H OCEAN"
13031,-121.2,38.67,26,1546,287,773,299,2.9803,115400,"INLAND"
10719,-117.83,33.65,8,2149,426,950,399,4.1103,250400,"<1H OCEAN"
15308,-117.37,33.19,18,975,382,650,286,1.9562,192500,"NEAR OCEAN"
1936,-120.99,38.67,8,4913,744,2005,723,5.4413,187900,"INLAND"
12160,-117.11,33.78,13,1914,339,930,304,4.1875,161200,"INLAND"
14618,-117.15,32.8,27,1937,537,1211,482,2.75,87500,"NEAR OCEAN"
14354,-117.22,32.75,26,696,185,384,184,2.6121,125000,"NEAR OCEAN"
10894,-117.87,33.72,37,2216,497,2445,506,3.8421,174000,"<1H OCEAN"
19876,-119.29,36.33,19,792,232,641,222,0.7445,112500,"INLAND"
18298,-122.12,37.38,34,1443,218,504,200,8.4709,500001,"NEAR BAY"
5365,-118.42,34.04,52,1358,272,574,267,5.6454,500001,"<1H OCEAN"
18808,-121.64,40.9,24,2237,434,834,318,1.7538,90300,"INLAND"
10301,-117.83,33.93,14,1956,282,671,269,6.5841,306400,"<1H OCEAN"
1677,-122.26,38.04,41,2512,539,1179,480,2.694,123000,"NEAR BAY"
5276,-118.5,34.05,36,4152,542,1461,550,15.0001,500001,"<1H OCEAN"
14554,-117.18,32.95,4,19001,2688,8980,2441,6.3237,260900,"<1H OCEAN"
411,-122.28,37.9,52,2261,328,819,335,4.9083,346800,"NEAR BAY"
6170,-117.93,34.09,37,1185,225,769,235,4.4625,154200,"<1H OCEAN"
18183,-122.03,37.37,30,1269,290,556,266,3.8125,325000,"<1H OCEAN"
18039,-121.93,37.22,21,4872,594,1811,560,9.3834,500001,"<1H OCEAN"
14110,-117.11,32.75,34,2131,594,1373,562,2.113,102100,"NEAR OCEAN"
19125,-122.65,38.24,49,3273,579,1431,539,4.275,227600,"<1H OCEAN"
14083,-117.11,32.77,52,1484,224,498,223,6.6053,331400,"NEAR OCEAN"
10033,-121.07,39.22,52,2432,495,928,435,2.425,121100,"INLAND"
6219,-117.92,34.07,29,1699,399,1052,411,3.2122,195500,"<1H OCEAN"
3974,-118.58,34.19,15,3061,1079,2173,1078,2.85,187500,"<1H OCEAN"
1380,-122.07,38,37,978,202,462,184,3.625,156300,"NEAR BAY"
14176,-117.05,32.75,35,2144,388,1003,383,3.0938,137300,"NEAR OCEAN"
8049,-118.17,33.84,45,1853,328,945,320,5.0787,219200,"<1H OCEAN"
10582,-117.82,33.72,24,3260,458,1383,442,6.5987,272800,"<1H OCEAN"
18832,-123.41,41.6,23,1654,369,669,273,1.965,65400,"INLAND"
11227,-117.94,33.81,26,1589,259,735,315,4.5714,243200,"<1H OCEAN"
18135,-122.03,37.35,25,3095,514,1251,507,5.5388,352100,"<1H OCEAN"
18172,-122.01,37.36,16,1105,354,499,324,4.2061,253600,"<1H OCEAN"
16132,-122.48,37.79,52,4683,1055,2246,975,4.1148,457800,"NEAR BAY"
8456,-118.35,33.91,32,1660,366,928,398,4.3187,269700,"<1H OCEAN"
7647,-118.27,33.81,42,865,208,811,218,3.8621,165300,"<1H OCEAN"
4084,-118.38,34.15,36,2933,619,1115,579,4.3036,365900,"<1H OCEAN"
11802,-121.28,38.9,31,1297,259,765,240,2.7656,93600,"INLAND"
9505,-123.36,39.01,35,1551,321,857,288,2.7232,115400,"<1H OCEAN"
12576,-121.42,38.53,36,1581,288,832,291,3.4083,71800,"INLAND"
11595,-118.08,33.8,29,3675,613,1457,591,6.0553,369400,"<1H OCEAN"
1031,-120.25,38.55,15,4403,891,1103,433,3.0125,111700,"INLAND"
9933,-122.3,38.29,25,1701,427,1021,399,3.0404,142100,"NEAR BAY"
6621,-118.12,34.17,37,2705,676,1551,608,2.2692,225000,"INLAND"
7587,-118.23,33.9,31,2143,522,2276,519,1.8095,100800,"<1H OCEAN"
13714,-117.17,34.12,2,3867,573,1275,433,5.4138,164400,"INLAND"
3211,-119.63,36.32,36,1518,287,749,255,2.2333,61000,"INLAND"
5312,-118.43,34.06,41,1463,267,601,267,5.3777,500001,"<1H OCEAN"
3880,-118.51,34.22,36,1952,387,1156,392,4.185,209200,"<1H OCEAN"
11481,-118.03,33.72,24,5203,957,2465,946,5.163,261000,"<1H OCEAN"
1384,-122.09,37.99,19,3073,506,1773,493,5.4496,205400,"NEAR BAY"
10985,-117.82,33.75,24,893,209,342,197,2.8261,146500,"<1H OCEAN"
8414,-118.35,33.94,36,2225,601,2755,610,2.5547,150400,"<1H OCEAN"
19260,-122.74,38.45,17,3064,588,1704,590,3.9329,170900,"<1H OCEAN"
4309,-118.31,34.09,42,1951,846,2500,813,1.5195,218200,"<1H OCEAN"
1445,-121.99,37.98,23,2293,411,969,399,4.4536,184000,"INLAND"
6675,-118.12,34.15,35,1760,447,984,384,3.4167,198200,"<1H OCEAN"
13069,-121.3,38.58,19,2653,680,1419,579,2.3787,91300,"INLAND"
42,-122.26,37.83,51,936,311,517,249,1.2852,150000,"NEAR BAY"
9315,-122.51,37.97,37,4296,1089,2100,1025,3.2462,329400,"NEAR BAY"
12100,-117.32,33.96,19,3216,666,1363,629,3.7585,144500,"INLAND"
1641,-121.84,37.98,8,7505,1089,3325,1016,5.2699,204200,"INLAND"
4119,-118.22,34.14,52,1388,271,735,239,3.7404,247700,"<1H OCEAN"
11866,-121.19,40.23,10,1572,232,247,104,5.8453,193800,"INLAND"
6782,-118.16,34.11,31,5715,1154,2639,1079,4.1661,364400,"<1H OCEAN"
891,-121.93,37.54,25,1354,192,596,220,6.629,352400,"<1H OCEAN"
18512,-122,36.98,43,1636,324,792,325,3.5562,239200,"NEAR OCEAN"
7443,-118.2,33.94,43,1934,511,1895,493,2.5029,159700,"<1H OCEAN"
2250,-119.81,36.81,33,3972,594,1324,561,5.4513,143300,"INLAND"
2172,-119.87,36.78,4,6102,1114,3406,1115,3.4213,84500,"INLAND"
497,-122.26,37.85,52,3618,768,1508,755,3.2619,309600,"NEAR BAY"
6864,-118.13,34.05,35,3229,616,1879,595,3.9531,268400,"<1H OCEAN"
6954,-118.06,33.98,40,1723,370,1221,370,3.3562,169200,"<1H OCEAN"
13365,-117.66,34,5,1387,236,855,270,5.411,201100,"INLAND"
12886,-121.35,38.66,8,3322,805,1694,774,2.7011,130700,"INLAND"
6317,-118.02,34.02,21,5992,986,2647,969,5.2405,302400,"<1H OCEAN"
1406,-122.06,37.96,10,7136,1691,2959,1507,3.9816,182000,"NEAR BAY"
16531,-121.2,37.83,18,3415,580,1912,562,4.4423,161400,"INLAND"
13009,-121.29,38.68,20,1881,378,921,360,1.8589,144000,"INLAND"
14550,-117.24,32.95,18,1591,268,547,243,5.9547,329300,"NEAR OCEAN"
19884,-119.19,36.34,33,2199,403,1245,394,2.73,96900,"INLAND"
18330,-122.15,37.45,52,2117,353,734,328,6.767,500001,"NEAR BAY"
19227,-122.68,38.46,19,4976,711,1926,625,7.3003,381300,"<1H OCEAN"
4539,-118.2,34.03,41,1292,334,1150,322,1.925,135200,"<1H OCEAN"
17896,-121.95,37.36,27,3236,832,2230,798,3.5625,208600,"<1H OCEAN"
8080,-118.2,33.82,43,1758,347,954,312,5.2606,198900,"NEAR OCEAN"
19853,-119.21,36.38,18,2158,413,1461,395,2.0216,58000,"INLAND"
8245,-118.18,33.78,52,1180,381,1046,332,1.5603,162500,"NEAR OCEAN"
15341,-117.29,33.19,18,6235,1233,4127,1162,3.0704,151600,"NEAR OCEAN"
12548,-121.48,38.55,52,2508,360,832,345,7.1035,228700,"INLAND"
15709,-122.43,37.79,52,3020,842,1294,769,3.4375,500001,"NEAR BAY"
7694,-118.12,33.97,33,3099,839,2025,750,3.183,191100,"<1H OCEAN"
19780,-122.19,39.91,39,2467,529,1433,502,1.8571,53500,"INLAND"
14534,-117.13,32.93,16,2918,444,1697,444,5.3062,195500,"<1H OCEAN"
4649,-118.31,34.06,31,2827,1084,3107,993,2.0278,360000,"<1H OCEAN"
13561,-117.31,34.09,34,1336,345,1009,311,1.608,73700,"INLAND"
19643,-120.81,37.53,15,570,123,189,107,1.875,181300,"INLAND"
18991,-121.99,38.48,17,1824,348,934,305,4.6719,250000,"INLAND"
12327,-116.52,33.97,13,3921,754,1902,665,3.3616,89600,"INLAND"
4226,-118.29,34.11,40,2681,737,1144,669,3.0461,264300,"<1H OCEAN"
18938,-122.18,38.17,7,4093,651,2228,646,5.2523,161300,"NEAR BAY"
1178,-121.54,39.5,38,1438,310,779,275,1.3289,39400,"INLAND"
9085,-118.19,34.67,8,11275,1822,5731,1692,5.0285,167900,"INLAND"
4616,-118.3,34.07,31,1489,664,1793,556,2.4348,230600,"<1H OCEAN"
11469,-118.02,33.62,11,3969,834,1508,754,4.3409,271400,"NEAR OCEAN"
19244,-122.79,38.5,18,4839,918,2755,841,3.75,248300,"<1H OCEAN"
538,-122.3,37.77,42,2038,368,2037,355,2.6447,2e+05,"NEAR BAY"
14988,-117.03,32.73,32,1750,333,997,335,3.4784,154400,"NEAR OCEAN"
9068,-118.16,34.71,27,6007,998,2680,882,4.1719,117200,"INLAND"
11604,-118.02,33.79,23,6368,1030,3281,1001,6.1142,240400,"<1H OCEAN"
13055,-121.27,38.62,13,2321,539,1066,497,2.7652,95600,"INLAND"
18437,-121.84,37.25,17,2363,473,1369,442,4.8355,141600,"<1H OCEAN"
10843,-117.91,33.67,16,7961,2276,5014,2116,3.512,218400,"<1H OCEAN"
13533,-117.34,34.18,7,2914,481,1584,499,4.6312,124900,"INLAND"
5813,-118.26,34.13,37,196,74,194,68,1.2188,218800,"<1H OCEAN"
16921,-122.33,37.57,43,2543,621,1301,606,3.1111,318400,"NEAR OCEAN"
20322,-119.16,34.23,26,5444,1293,3700,1158,2.7556,213200,"NEAR OCEAN"
14754,-117.05,32.56,18,1215,320,1195,349,1.9875,114900,"NEAR OCEAN"
10680,-117.8,33.52,50,1152,341,519,225,3.053,500001,"<1H OCEAN"
7808,-118.09,33.89,27,3399,882,2465,811,3.099,166600,"<1H OCEAN"
1927,-120.3,38.9,11,1961,435,113,53,0.9227,95500,"INLAND"
7075,-117.98,33.94,32,2562,491,1222,446,4.0985,226200,"<1H OCEAN"
3950,-118.61,34.21,33,2609,431,1208,406,5.4527,227100,"<1H OCEAN"
12432,-116.17,33.53,13,1713,512,1978,442,2.1287,58600,"INLAND"
4093,-118.42,34.16,17,277,70,119,59,4.0208,341700,"<1H OCEAN"
18241,-122.08,37.4,52,766,203,448,196,2.5208,316700,"NEAR BAY"
15656,-122.41,37.79,52,1436,738,1688,662,1.5156,237500,"NEAR BAY"
17144,-122.18,37.45,37,5257,1360,2128,1264,4,394300,"NEAR BAY"
10677,-117.76,33.54,28,2250,329,826,323,6.9257,466400,"<1H OCEAN"
960,-121.93,37.7,3,2456,582,793,456,4.4087,225600,"<1H OCEAN"
16417,-121.28,37.9,28,371,71,171,70,0.9614,55700,"INLAND"
11846,-120.74,39.9,23,1017,218,387,152,2.2656,88200,"INLAND"
20100,-120.24,37.96,34,1747,395,935,362,1.625,79400,"INLAND"
7494,-118.24,33.92,42,328,100,605,87,2.4464,97400,"<1H OCEAN"
758,-122.07,37.66,28,2280,610,1255,587,2.6719,161200,"NEAR BAY"
14343,-117.17,32.74,39,3803,806,1567,775,3.7039,361500,"NEAR OCEAN"
10028,-121.04,39.24,48,1188,227,471,219,2.3125,125700,"INLAND"
1357,-121.92,38.02,16,1840,355,1288,338,4.2067,125000,"INLAND"
15389,-117.05,33.26,14,3103,569,1704,539,3.7644,264700,"<1H OCEAN"
11847,-120.57,39.78,15,1291,283,582,242,2.1216,102000,"INLAND"
5615,-118.25,33.79,38,1730,460,1724,424,2.7308,150400,"NEAR OCEAN"
7337,-118.15,33.98,37,1184,290,1320,276,2.3,165600,"<1H OCEAN"
10426,-117.63,33.47,4,1969,280,805,271,7.6012,310800,"NEAR OCEAN"
8746,-118.33,33.82,26,5591,934,2824,939,6.5861,417800,"<1H OCEAN"
19533,-120.9,37.66,19,3377,669,2426,663,2.9783,82500,"INLAND"
20134,-118.91,34.4,30,2861,613,2065,586,3.2024,176100,"<1H OCEAN"
14156,-117.07,32.77,38,3779,614,1495,614,4.3529,184000,"NEAR OCEAN"
7509,-118.27,33.91,37,3018,547,1720,512,2.7269,124100,"<1H OCEAN"
19719,-121.83,39.23,25,3819,702,1983,658,2.4464,72500,"INLAND"
14249,-117.1,32.72,5,1615,387,1094,394,2.2024,137200,"NEAR OCEAN"
5102,-118.31,33.97,48,1541,314,819,312,3.0917,136100,"<1H OCEAN"
12921,-121.31,38.66,26,1604,245,751,267,4.7381,140500,"INLAND"
